PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.1, I=0.0, L=1.0, Ljump=10.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='left_precond')

###### left preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
# TT-PIVMGS:    ortho 0 pivot 0 dot 1.4737295628062738e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot -1.0607015135104367e-05
# TT-PIVMGS:    ortho max err 2.833844270355712e-14 , max. rank: 104
15 0.0002573503268653809 0.00014796978658280455 100 100 104 79
# TT-PIVMGS:    ortho 0 pivot 15 dot 0.8266457848815122
# TT-PIVMGS:    ortho 0 pivot 14 dot 0.7039788466575435
# TT-PIVMGS:    ortho 0 pivot 13 dot 0.0006301857883177706
# TT-PIVMGS:    ortho 0 pivot 12 dot -0.0003432770529335147
# TT-PIVMGS:    ortho 0 pivot 11 dot 0.00010221929426885382
# TT-PIVMGS:    ortho 0 pivot 4 dot -6.203798551519465e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot 5.612774073463552e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot 4.7565397582442076e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot -3.564068512968994e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot -2.3991340036072333e-05
# TT-PIVMGS:    ortho 0 pivot 9 dot -2.0459115008820625e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot 1.2145112216279536e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot 7.644246707810658e-06
# TT-PIVMGS:    ortho 0 pivot 1 dot 5.839005287547848e-06
# TT-PIVMGS:    ortho 0 pivot 10 dot 1.1611723578566768e-06
# TT-PIVMGS:    ortho max err 4.357927063615083e-08 , max. rank: 110
16 0.00018741025321468975 0.00010679204723641507 106 106 110 80
# TT-PIVMGS:    ortho 0 pivot 16 dot 0.8256902642990143
# TT-PIVMGS:    ortho 0 pivot 15 dot 0.7096050311898744
# TT-PIVMGS:    ortho 0 pivot 14 dot 0.0006334424048923034
# TT-PIVMGS:    ortho 0 pivot 13 dot -0.0003501631807237178
# TT-PIVMGS:    ortho 0 pivot 6 dot 0.00014175433768772068
# TT-PIVMGS:    ortho 0 pivot 7 dot -0.00011309292017985719
# TT-PIVMGS:    ortho 0 pivot 12 dot 0.0001076542054846575
# TT-PIVMGS:    ortho 0 pivot 5 dot -0.00010589974348476031
# TT-PIVMGS:    ortho 0 pivot 10 dot -5.8304004147687744e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot 5.017265326045985e-05
# TT-PIVMGS:    ortho 0 pivot 9 dot 4.4767507209574064e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot 2.7077273317736416e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot -1.785001963134497e-05
# TT-PIVMGS:    ortho 0 pivot 11 dot 1.2521597014224228e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 9.52965759306798e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot -3.374427885339138e-06
# TT-PIVMGS:    ortho max err 4.031787743377299e-07 , max. rank: 116
17 0.00013844005071985373 7.85855936425241e-05 113 113 116 84
# TT-PIVMGS:    ortho 0 pivot 17 dot 0.8275673595585711
# TT-PIVMGS:    ortho 0 pivot 16 dot 0.7064001396168198
# TT-PIVMGS:    ortho 0 pivot 15 dot 0.0006312890781400432
# TT-PIVMGS:    ortho 0 pivot 14 dot -0.00034156386640878805
# TT-PIVMGS:    ortho 0 pivot 7 dot 0.0001831432985031538
# TT-PIVMGS:    ortho 0 pivot 6 dot -0.00018213737035003143
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.00013243171162696712
# TT-PIVMGS:    ortho 0 pivot 8 dot -0.00012426835927137813
# TT-PIVMGS:    ortho 0 pivot 13 dot 9.907747392901706e-05
# TT-PIVMGS:    ortho 0 pivot 11 dot -6.960869134268848e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot -5.3238560111845516e-05
# TT-PIVMGS:    ortho 0 pivot 10 dot 4.934285293377999e-05
# TT-PIVMGS:    ortho 0 pivot 12 dot 2.9834312540676783e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 2.739484358525897e-05
# TT-PIVMGS:    ortho 0 pivot 9 dot 2.5066515086293734e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -1.2496500894225264e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot -1.0644226118323476e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot 2.089770916721017e-06
# TT-PIVMGS:    ortho max err 4.968192524046344e-12 , max. rank: 123
18 0.00010295536107525335 5.8245746354224574e-05 118 119 123 92
# TT-PIVMGS:    ortho 0 pivot 18 dot 0.8246868007853717
# TT-PIVMGS:    ortho 0 pivot 17 dot 0.7048262419018196
# TT-PIVMGS:    ortho 0 pivot 16 dot 0.0006424502621952405
# TT-PIVMGS:    ortho 0 pivot 15 dot -0.0003550301253349066
# TT-PIVMGS:    ortho 0 pivot 8 dot 0.00017900038663096196
# TT-PIVMGS:    ortho 0 pivot 7 dot -0.00017475590071995822
# TT-PIVMGS:    ortho 0 pivot 6 dot 0.00015774480183421234
# TT-PIVMGS:    ortho 0 pivot 9 dot -0.00014224129215823379
# TT-PIVMGS:    ortho 0 pivot 5 dot -0.00012277127714805703
# TT-PIVMGS:    ortho 0 pivot 14 dot 0.00010001535549028495
# TT-PIVMGS:    ortho 0 pivot 12 dot -9.47985726977383e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot 5.758023515490922e-05
# TT-PIVMGS:    ortho 0 pivot 10 dot 5.366841798614373e-05
