PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=False, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='left_precond')

###### left preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
# TT-PIVMGS:    ortho 0 pivot 15 dot 0.00020687894246291302
# TT-PIVMGS:    ortho 0 pivot 14 dot -0.00014508121904804362
# TT-PIVMGS:    ortho 0 pivot 6 dot -8.384973998103e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot 7.880453276663119e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot 7.301778664937572e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot -6.551928936605715e-05
# TT-PIVMGS:    ortho 0 pivot 17 dot 5.904929580303683e-05
# TT-PIVMGS:    ortho 0 pivot 13 dot 5.254279731550012e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot -5.199439704078185e-05
# TT-PIVMGS:    ortho 0 pivot 9 dot 4.7732484223380126e-05
# TT-PIVMGS:    ortho 0 pivot 11 dot -3.393520955442234e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot 2.4960484877047454e-05
# TT-PIVMGS:    ortho 0 pivot 12 dot 1.5782263115379086e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot -8.117606009133693e-06
# TT-PIVMGS:    ortho 0 pivot 10 dot 2.480787583176644e-06
# TT-PIVMGS:    ortho 0 pivot 1 dot 1.3339168013948473e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot -2.627768773497824e-08
# TT-PIVMGS:    ortho max err 3.7192471324942744e-14 , max. rank: 139
20 2.6352876827611463e-06 1.2717132787240765e-06 137 137 139 68
# TT-PIVMGS:    ortho 0 pivot 20 dot 0.8382155326816
# TT-PIVMGS:    ortho 0 pivot 19 dot 0.7066972170075477
# TT-PIVMGS:    ortho 0 pivot 17 dot -0.0002426837829507247
# TT-PIVMGS:    ortho 0 pivot 16 dot 0.00021065546161418407
# TT-PIVMGS:    ortho 0 pivot 15 dot -0.00016155363344092302
# TT-PIVMGS:    ortho 0 pivot 7 dot -9.399083901225243e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot 7.977305599922609e-05
# TT-PIVMGS:    ortho 0 pivot 14 dot 6.956801477353731e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot 6.871023581950762e-05
# TT-PIVMGS:    ortho 0 pivot 18 dot 5.590867286288728e-05
# TT-PIVMGS:    ortho 0 pivot 12 dot -5.311297281520135e-05
# TT-PIVMGS:    ortho 0 pivot 9 dot -4.842645065622508e-05
# TT-PIVMGS:    ortho 0 pivot 11 dot 3.715670218975946e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot -2.481372024437721e-05
# TT-PIVMGS:    ortho 0 pivot 13 dot 1.6450654235566214e-05
# TT-PIVMGS:    ortho 0 pivot 10 dot 1.1930803381124053e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 4.664835357330057e-06
# TT-PIVMGS:    ortho 0 pivot 2 dot -3.398405918134551e-06
# TT-PIVMGS:    ortho 0 pivot 3 dot 2.8141895238309456e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot -1.5183481945533171e-06
# TT-PIVMGS:    ortho 0 pivot 4 dot 1.2398982513952411e-06
# TT-PIVMGS:    ortho max err 1.2739809207573671e-14 , max. rank: 149
21 1.7792240281719716e-06 8.607796347845879e-07 145 145 149 69
# TT-PIVMGS:    ortho 0 pivot 21 dot 0.8348895239589297
# TT-PIVMGS:    ortho 0 pivot 20 dot 0.7036913650108638
# TT-PIVMGS:    ortho 0 pivot 18 dot -0.0002440836706978115
# TT-PIVMGS:    ortho 0 pivot 17 dot 0.0002212717696987651
# TT-PIVMGS:    ortho 0 pivot 16 dot -0.0001647104422789463
# TT-PIVMGS:    ortho 0 pivot 7 dot 7.098215720975111e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot -6.968925445887775e-05
# TT-PIVMGS:    ortho 0 pivot 15 dot 6.90269433164031e-05
# TT-PIVMGS:    ortho 0 pivot 19 dot 5.0523452027204964e-05
# TT-PIVMGS:    ortho 0 pivot 9 dot 4.0520129902986424e-05
# TT-PIVMGS:    ortho 0 pivot 13 dot -3.975178726109679e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot -3.507427634040321e-05
# TT-PIVMGS:    ortho 0 pivot 12 dot 3.276837709305629e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot 2.343168084631246e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot -1.968000207958672e-05
# TT-PIVMGS:    ortho 0 pivot 10 dot -1.4440956551179523e-05
# TT-PIVMGS:    ortho 0 pivot 14 dot 8.793835585666626e-06
# TT-PIVMGS:    ortho 0 pivot 2 dot 8.70208962284319e-06
# TT-PIVMGS:    ortho 0 pivot 5 dot -5.2872747783247465e-06
# TT-PIVMGS:    ortho 0 pivot 11 dot -4.117876763775827e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot -7.78173300957025e-07
# TT-PIVMGS:    ortho 0 pivot 1 dot 1.8171802712769504e-07
# TT-PIVMGS:    ortho max err 1.304512053934559e-14 , max. rank: 155
22 1.2052778627435065e-06 5.806544545829081e-07 153 153 155 70
# TT-PIVMGS:    ortho 0 pivot 22 dot 0.8323634818669646
# TT-PIVMGS:    ortho 0 pivot 21 dot 0.7070772530823902
# TT-PIVMGS:    ortho 0 pivot 19 dot -0.00024214565422756365
# TT-PIVMGS:    ortho 0 pivot 18 dot 0.00021998212327456294
# TT-PIVMGS:    ortho 0 pivot 17 dot -0.00016679897272992537
# TT-PIVMGS:    ortho 0 pivot 16 dot 6.614962339031479e-05
# TT-PIVMGS:    ortho 0 pivot 20 dot 5.217459345107679e-05
# TT-PIVMGS:    ortho 0 pivot 14 dot -3.7873646760240316e-05
