PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.1, I=0.0, L=1.0, Ljump=10.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='right_precond')

###### right preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
# TT-PIVMGS:    ortho 0 pivot 8 dot 3.2020584808615388e-06
# TT-PIVMGS:    ortho max err 2.3605900673388195e-06 , max. rank: 109
# TT-PIVMGS:    ortho 1 pivot 1 dot -2.3605900673388195e-06
# TT-PIVMGS:    ortho 1 pivot 0 dot -1.2828869992266914e-06
# TT-PIVMGS:    ortho max err 1.315592079720318e-11 , max. rank: 109
16 5.647128200046008e-05 5.6471294286124266e-05 102 96 109 78
# TT-PIVMGS:    ortho 0 pivot 16 dot 0.8247806428955207
# TT-PIVMGS:    ortho 0 pivot 15 dot 0.7066644502155828
# TT-PIVMGS:    ortho 0 pivot 13 dot -0.00047871096892597616
# TT-PIVMGS:    ortho 0 pivot 12 dot 0.000364687452508828
# TT-PIVMGS:    ortho 0 pivot 14 dot 0.0003236865353738669
# TT-PIVMGS:    ortho 0 pivot 8 dot 0.00013822576459744315
# TT-PIVMGS:    ortho 0 pivot 7 dot -9.023864319823889e-05
# TT-PIVMGS:    ortho 0 pivot 11 dot -7.343789126004058e-05
# TT-PIVMGS:    ortho 0 pivot 9 dot -5.964226668753181e-05
# TT-PIVMGS:    ortho 0 pivot 10 dot -4.858406435631884e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot 4.2940563090572426e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot -3.3253543878047215e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot -1.4075291115398826e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot 1.0933280643050112e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 1.0064839301701764e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot -7.855843397081529e-06
# TT-PIVMGS:    ortho max err 1.612670811734513e-06 , max. rank: 116
17 4.2734790330241824e-05 4.2734764802595455e-05 108 101 116 82
# TT-PIVMGS:    ortho 0 pivot 17 dot 0.8248314084081716
# TT-PIVMGS:    ortho 0 pivot 16 dot 0.7066595616515636
# TT-PIVMGS:    ortho 0 pivot 14 dot -0.0005204194128487528
# TT-PIVMGS:    ortho 0 pivot 15 dot 0.0003664031322137447
# TT-PIVMGS:    ortho 0 pivot 13 dot 0.00035454001371425757
# TT-PIVMGS:    ortho 0 pivot 9 dot 0.0001442395986961803
# TT-PIVMGS:    ortho 0 pivot 10 dot -0.00011326490179764184
# TT-PIVMGS:    ortho 0 pivot 8 dot -6.139041749155362e-05
# TT-PIVMGS:    ortho 0 pivot 12 dot -5.949079880975677e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot 3.6138678947162176e-05
